="Behavioral measurements gap between white students and other ethnicities in spring of kindergarten"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="externalizing behavior",="internalizing behavior",="approach-to-learning",="externalizing behavior",="internalizing behavior",="approach-to-learning"

="black",="0.40***",="0.13***",="-0.38***",="0.18***",="0.08***",="-0.13***"
="",="(0.02)",="(0.02)",="(0.02)",="(0.02)",="(0.02)",="(0.02)"

="hispanic",="0.03",="0.07**",="-0.19***",="0.02",="0.02",="-0.03*"
="",="(0.02)",="(0.02)",="(0.02)",="(0.01)",="(0.02)",="(0.02)"

="asian",="-0.25***",="-0.16***",="0.22***",="-0.10***",="-0.12***",="0.15***"
="",="(0.03)",="(0.03)",="(0.03)",="(0.02)",="(0.03)",="(0.02)"

="other",="0.20***",="0.17***",="-0.23***",="0.07**",="0.10***",="-0.06*"
="",="(0.03)",="(0.03)",="(0.03)",="(0.02)",="(0.03)",="(0.02)"

="Standardized externalizing Problem - fall K",="",="",="",="0.72***",="",=""
="",="",="",="",="(0.01)",="",=""

="Standardized Internalizing Problem - fall K",="",="",="",="",="0.56***",=""
="",="",="",="",="",="(0.01)",=""

="Standardized Approach to Learning - fall K",="",="",="",="",="",="0.70***"
="",="",="",="",="",="",="(0.01)"

="Constant",="-0.06***",="-0.03**",="0.09***",="-0.01",="-0.00",="0.00"
="",="(0.01)",="(0.01)",="(0.01)",="(0.01)",="(0.01)",="(0.01)"

="Observations",="16873",="16873",="16873",="16873",="16873",="16873"
="R-squared",="0.026",="0.006",="0.026",="0.527",="0.311",="0.501"

="Standard errors in parentheses"
="Note: First three columns include regression results without controling for fall measurements and the second three columns include results with controling of fall measurements. Whites measurements are omitted from the set, therefore all the coefficients are relative to that group"
="* p<0.05, ** p<0.01, *** p<0.001"
